Total Population,Median Gross Rent,Median Household Income,Poverty_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Unemployment_Rate,"Total Year-Round Beds (ES, TH, SH)",Average Temperature,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,Overall_Homeless_Per_Capita,Overall_Homeless_Individuals_Per_Capita,Overall_Homeless_People_in_Families_Per_Capita,Unsheltered_Homeless_Per_Capita,Sheltered_Homeless_Per_Capita
489100,113917,7637392,13.12737681,9.419347044,32.96586042,40.21350098,4.990126776,572,49.5,561,418,143,155,406,0.001147005,0.000854631,0.000292374,0.000316909,0.000830096
500840,117571,8138648,12.62978197,8.777473334,33.38595067,39.92796692,4.801821882,499,46.6,300,200,100,0,300,0.000598994,0.000399329,0.000199665,0,0.000598994
536061,134836,9389553,12.08929581,8.535225717,32.77174996,39.78050574,4.611432674,553,43.9,549,409,140,231,318,0.001024137,0.000762973,0.000261164,0.000430921,0.000593216
536061,134836,9389553,12.08929581,8.535225717,32.77174996,39.78050574,4.611432674,429,51.4,646,461,185,249,397,0.001205087,0.000859977,0.00034511,0.000464499,0.000740587
378223,68987,4333734,16.22296899,12.29990179,31.57102764,46.54725221,8.91661796,,46.7,456,392,64,125,331,0.001205638,0.001036426,0.000169212,0.000330493,0.000875145
378223,68987,4333734,16.22296899,12.29990179,31.57102764,46.54725221,8.91661796,,43,444,370,74,117,327,0.001173911,0.000978259,0.000195652,0.000309341,0.000864569
378223,68987,4333734,16.22296899,12.29990179,31.57102764,46.54725221,8.91661796,,45.3,377,305,72,114,263,0.000996766,0.000806403,0.000190364,0.000301409,0.000695357
378223,68987,4333734,16.22296899,12.29990179,31.57102764,46.54725221,8.91661796,,40,444,376,68,150,294,0.001173911,0.000994123,0.000179788,0.000396591,0.000777319
379056,71211,4318128,16.75161454,12.85160722,31.73577404,48.18946436,8.932527025,,41.1,433,333,100,146,287,0.001142311,0.000878498,0.000263813,0.000385167,0.000757144
381876,73058,4357638,17.16761462,12.87410782,32.23640636,49.64854986,9.066189624,,50.1,487,383,104,144,343,0.001275283,0.001002943,0.00027234,0.000377086,0.000898197
380182,73780,4287116,17.97928361,12.90077218,33.36779891,49.23160672,9.404239602,,50,515,446,69,116,399,0.001354614,0.001173122,0.000181492,0.000305117,0.001049497
382352,77684,4423168,18.42202996,12.85875951,34.32781178,47.10735486,9.259609501,463,37.3,490,365,125,81,409,0.001281542,0.000954618,0.000326924,0.000211847,0.001069695
382550,77895,4448308,19.02574827,13.03529046,35.11153886,47.09153206,8.905873789,414,43.6,441,333,108,68,373,0.00115279,0.000870474,0.000282316,0.000177755,0.000975036
379635,80876,4559936,18.29204367,12.59891537,35.83834427,46.55162529,7.948235716,422,43,367,285,82,74,293,0.000966718,0.000750721,0.000215997,0.000194924,0.000771794
378742,83279,4722648,18.20896547,13.28848071,35.81154125,46.66794039,7.343242278,393,52.4,377,284,93,63,314,0.000995401,0.000749851,0.00024555,0.00016634,0.00082906
378175,84468,4804551,18.23653071,13.71393094,35.51638833,46.56749248,6.922617184,360,40.4,369,272,97,69,300,0.000975739,0.000719244,0.000256495,0.000182455,0.000793284
371877,82570,4751427,17.24871396,13.8876762,35.65292275,46.09151294,5.887142741,356,46.5,330,228,102,57,273,0.00088739,0.000613106,0.000274284,0.000153276,0.000734114
330435,91451,5152821,17.51872532,14.58744638,37.28550609,46.25730257,5.988521723,356,49.5,351,285,66,76,275,0.001062236,0.000862499,0.000199737,0.00023,0.000832236
325455,86441,4956883,17.98651119,15.30179445,38.69976246,45.89303859,6.12239428,322,46.6,215,155,60,0,215,0.000660614,0.000476256,0.000184357,0,0.000660614
343419,100133,5726247,16.83220789,13.99398469,37.07375278,44.81306803,5.909362143,286,43.9,278,235,43,46,232,0.000809507,0.000684295,0.000125211,0.000133947,0.00067556
343419,100133,5726247,16.83220789,13.99398469,37.07375278,44.81306803,5.909362143,237,51.4,345,258,87,127,218,0.001004604,0.000751269,0.000253335,0.000369811,0.000634793
183851,35115,1923380,18.97025309,16.35998164,36.60099691,50.80658236,7.3064509,,46.7,345,294,51,13,332,0.00187652,0.001599121,0.000277399,7.07E-05,0.00180581
